LOC;VEH_SER_NO;INSP_COMT;TS_LOAD;FOUND_INSP_TEAM;RESP_INSP_TEAM;RESP_INSP_OPRUNT
017;RVM670;Beros beu.;2017-03-06 01:51:45.745000;107;;
017;RVM670;Borci bat ba bmi ba bid ba.;2017-03-06 01:52:31.538000;107;;
017;DBW217;Benim beu ba ba bnisl but ba ba ba bproin bnunc bodio betiam.;2017-03-06 01:53:32.829000;607;;
017;DBW217;Bduis bin bve bante blitora bper ba best bnec.;2017-03-06 01:53:59.999000;607;;
017;DBW217;Beget beu ba ba ba ba bmorbi ba burna bvitae bsem bdiam bodio bmi ba ba bvelit bac bhac.;2017-03-06 01:54:27.348000;607;;
017;RVM670;Bnibh bac baliquam ba bnon bsemper borci ba ba ba bhabitasse bsit bet bamet benim.;2017-03-06 01:54:34.179000;107;;
017;RVM670;Barcu bid bin bcum bmattis bhac bmi borci bnostra ba bnibh.;2017-03-06 01:55:21.224000;107;;
017;RVM670;Bamet bid.;2017-03-06 01:56:27.811000;107;;
017;RVM670;Barcu bet ba blacinia bnon ba.;2017-03-06 01:57:20.698000;107;;
017;RGU460;Bnunc bad bnunc bnam bat bhabitant ba ba.;2017-03-06 02:04:54.078000;607;;
017;RGU460;Bnibh bin ba.;2017-03-06 02:06:21.306000;607;;
017;FGB216;Bquis bat bquis blectus ba ba.;2017-03-06 02:13:41.175000;629;;
017;WDX548;Bdiam beu.;2017-03-06 02:14:25.999000;629;;
017;RGU460;Bamet bac bmi.;2017-03-06 02:14:57.182000;607;;
017;NHR180;Bnisi bac ba bhac bimperdiet bpede bnulla beu.;2017-03-06 02:15:52.502000;515;;
017;RHZ963;Benim bad but bvelit ba ba.;2017-03-06 02:18:54.884000;629;;
017;RHZ963;Bpede beu ba bleo.;2017-03-06 02:19:11.757000;629;;
017;IHY154;Burna bmi bve bnec bid bfeugiat bnascetur.;2017-03-06 02:25:59.333000;607;;
017;IHY154;Benim bmi ba bmi.;2017-03-06 02:26:16.932000;607;;
017;IHY154;Berat bac.;2017-03-06 02:26:44.306000;607;;
017;IHY154;Belit bve ba bid.;2017-03-06 02:27:06.006000;607;;
017;CYB497;Bquis bve.;2017-03-06 02:33:47.211000;107;;
017;CYB497;Bante bet ba bsit bnunc bnisl ba ba bante ba.;2017-03-06 02:34:19.001000;107;;
017;CYB497;Beget bid ba ba ba bin ba bsem bornare ba bhac ba ba blacinia.;2017-03-06 02:34:58.854000;107;;
017;XFK804;Barcu but.;2017-03-06 02:35:35.012000;629;;
017;CYB497;Barcu bac ba ba bmi but bsapien brhoncus ba.;2017-03-06 02:35:55.900000;107;;
017;XFK804;Bnibh bmi bac.;2017-03-06 02:36:03.720000;629;;
017;XFK804;Bnisi beu ba.;2017-03-06 02:36:19.680000;629;;
017;CYB497;Berat bve beu berat beni ba ba bfames bsed bleo.;2017-03-06 02:36:43.024000;107;;
017;XFK804;Bdiam bve beget ba ba but.;2017-03-06 02:37:37.642000;629;;
017;XFK804;Bnisl bin bve bmorbi ba ba.;2017-03-06 02:38:41.052000;629;;
017;XFK804;Bdiam bve ba bdiam bcum.;2017-03-06 02:39:00.072000;629;;
017;VCB259;Burna bad ba bid ba beu bet bmi ba bhac ba ba bfacilisis bnon ba bmagna ba ba ba ba bin.;2017-03-06 02:39:01.459000;607;;
017;XFK804;Benim bin ba bante brutrum ba bante.;2017-03-06 02:39:21.889000;629;;
017;XFK804;Bnisl bet bsodales ba bornare blacus ba ba.;2017-03-06 02:39:55.084000;629;;
017;XFK804;Bquam beu ba.;2017-03-06 02:41:02.099000;629;;
017;XFK804;Benim bid ba ba bnisi ba but.;2017-03-06 02:41:47.717000;629;;
017;TOR798;Beros bid bad bvel ba blacus but bnunc bnon bat bfusce ba bodio but ba.;2017-03-06 02:45:47.123000;607;;
017;TOR798;Berat bmi ba bmetus btempor bneque ba.;2017-03-06 02:45:58.958000;607;;
017;TOR798;Bnisl bin.;2017-03-06 02:46:21.191000;607;;
017;TOR798;Bamet bin ba.;2017-03-06 02:46:50.665000;607;;
017;TOR798;Barcu bmi bac.;2017-03-06 02:47:14.435000;607;;
017;TOR798;Bdiam bin but bat beget ba ba but.;2017-03-06 02:47:30.933000;607;;
017;TOR798;Bcras bat.;2017-03-06 02:48:35.834000;607;;
017;XEG792;Bodio bet ba bmagna ba bmalesuada ba.;2017-03-06 02:51:06.900000;629;;
017;XEG792;Bodio bmi ba bnibh bin beu bnulla ba burna ba.;2017-03-06 02:51:34.943000;629;;
017;XEG792;Borci bin ba bmi ba bfringilla ba bnibh ba.;2017-03-06 02:53:51.889000;629;205;200
