TS_LOAD;PAINT_COMP;REPAINT_REQ_INDC;VEH_SER_NO
2017-03-06 05:27:21.223644;CAB;N;YGL283
2017-03-06 05:27:27.770683;CAB;N;YGL283
2017-03-06 05:27:33.620511;CAB;N;YGL283
2017-03-06 05:32:29.062652;CAB;N;YGL283
2017-03-06 05:32:36.521497;CAB;N;YGL283
2017-03-06 05:33:23.700921;CAB;N;YGL283
2017-03-06 06:38:15.226480;CAB;N;LMN504
2017-03-06 06:38:20.562995;CAB;N;LMN504
2017-03-06 06:39:48.206178;CAB;N;LMN504
2017-03-06 06:39:52.771036;CAB;N;LMN504
2017-03-06 06:39:59.026672;CAB;N;LMN504
2017-03-06 06:40:05.229521;CAB;N;LMN504
2017-03-06 06:40:10.632983;CAB;N;LMN504
2017-03-06 06:40:14.374129;CAB;N;LMN504
2017-03-07 05:59:28.180085;CAB;N;KLN307
2017-03-07 05:59:32.137961;CAB;N;KLN307
2017-03-07 05:59:37.931264;CAB;N;KLN307
2017-03-07 05:59:45.755521;CAB;N;KLN307
2017-03-07 05:59:55.622954;CAB;N;KLN307
2017-03-07 06:06:49.896151;CAB;N;HBM615
2017-03-07 06:07:01.547629;CAB;N;HBM615
2017-03-07 07:20:04.688412;CAB;N;OLI345
2017-03-07 07:20:12.966866;CAB;N;OLI345
2017-03-07 07:21:01.751654;CAB;N;OLI345
2017-03-08 02:45:14.576576;CAB;N;NUX358
2017-03-10 06:13:13.024523;CAB;N;FPI264
2017-03-10 06:13:23.521002;CAB;N;FPI264
2017-03-08 04:18:28.544068;CAB;N;WRT608
2017-03-09 02:03:51.325647;CAB;N;EVB234
2017-03-08 04:22:27.917397;CAB;N;NUX358
2017-03-08 04:27:53.072475;CAB;Y;NUX358
2017-03-08 04:22:55.690722;CAB;Y;NUX358
2017-03-08 04:23:29.442034;CAB;Y;NUX358
2017-03-08 04:27:30.899136;CAB;N;NUX358
2017-03-08 04:27:36.585519;CAB;N;NUX358
2017-03-08 04:27:41.998254;CAB;N;NUX358
2017-03-08 04:28:04.411079;CAB;Y;NUX358
2017-03-08 05:06:42.533531;CAB;Y;OXE951
2017-03-08 06:12:15.533764;CAB;N;JBC439
2017-03-08 06:12:22.078340;CAB;N;JBC439
2017-03-08 06:12:27.567533;CAB;N;JBC439
2017-03-08 06:34:55.512662;CAB;Y;JBC439
2017-03-08 06:35:09.651943;CAB;Y;JBC439
2017-03-08 06:36:20.206565;CAB;N;JBC439
2017-03-10 09:37:28.050881;CAB;N;BPM756
2017-03-08 07:38:53.856380;CAB;Y;KNR831
2017-03-08 07:42:22.106037;CAB;N;KNR831
2017-03-08 07:42:28.026138;CAB;N;KNR831
2017-03-08 07:42:34.569188;CAB;Y;KNR831
2017-03-08 09:44:20.710935;CAB;N;HBM615
2017-03-08 09:44:25.707961;CAB;N;HBM615
2017-03-09 02:04:10.788895;CAB;N;EVB234
2017-03-09 02:04:23.761861;CAB;N;EVB234
2017-03-09 02:04:30.360851;CAB;N;EVB234
2017-03-09 02:09:38.501572;CAB;N;EVB234
2017-03-09 02:09:46.698143;CAB;N;EVB234
2017-03-09 02:39:03.437442;CAB;Y;EQD264
2017-03-09 04:04:06.761378;CAB;N;DJZ516
2017-03-09 04:04:33.013581;CAB;N;DJZ516
2017-03-09 04:04:48.933963;CAB;N;DJZ516
