TS_LOAD,OPR_NAME,VEH_SER_NO,DEPARTMENT_ABBR,DEPARTMENT_NAME
2017-03-06 04:22:24.405773,None,LMN504,None,None
2017-03-10 08:56:21.263939,Hood Upload,YKL719,FCB,Final Cab
2017-03-10 10:17:31.369863,Pool 60 Start,CNE620,FCB,Final Cab
2017-03-10 05:07:44.131293,Pool 13 Start,TMU402,ENG,Pre-Paint Chassis
2017-03-10 07:26:09.376240,PAINT,NTD012,PNT,Paint
2017-03-10 11:13:58.558539,Pool 60 Start,HTV792,FCB,Final Cab
2017-03-10 09:09:40.258451,Chassis Start,QTF497,PCH,Pre-Paint Chassis
2017-03-10 07:26:10.412882,CIW upload,QTF497,CIW,Cab In White
2017-03-10 06:28:20.747868,PAINT,DUT829,PNT,Paint
2017-03-10 12:06:10.078900,Hood Upload,MUJ483,FCB,Final Cab
2017-03-08 11:31:03.619696,PAINT,KNR831,PNT,Paint
2017-03-09 11:07:40.510727,Rear U-Bolt,YWI795,PCH,Pre-Paint Chassis
2017-03-10 09:05:55.145189,B Line,XGC043,FCH,Final Chassis
2017-03-10 11:16:58.640944,None,BPM756,None,None
2017-03-10 12:06:11.692402,CIW upload,FHL296,CIW,Cab In White
2017-03-10 05:29:49.664885,Pool 13 Start,HCS198,ENG,Pre-Paint Chassis
2017-03-10 05:29:50.765674,Pool 13 Start,HCS198,ENG,Pre-Paint Chassis
2017-03-10 10:07:20.589684,Cab Upload,HCS198,FCB,Final Cab
2017-03-10 04:30:10.281978,A Line,DJZ516,FCH,Final Chassis
2017-03-07 11:57:53.437900,Enter Offline,XPQ906,OFF,Offline
2017-03-07 09:29:02.380738,Pool 60 Start,WTB963,FCB,Final Cab
2017-03-08 09:06:38.329179,CIW upload,KFN372,CIW,Cab In White
2017-03-08 20:03:14.435824,Pool 13 Start,PJL425,ENG,Pre-Paint Chassis
2017-03-08 14:06:06.224771,CIW upload,JIN079,CIW,Cab In White
2017-03-06 15:55:35.967465,None,TPJ583,None,None
2017-03-07 16:56:00.439824,A Line,QVP853,FCH,Final Chassis
2017-03-07 14:45:48.719788,Cab Upload,ELJ539,FCB,Final Cab
2017-03-07 05:33:27.375894,CIW upload,DZO637,CIW,Cab In White
2017-03-06 06:02:09.532935,Sold,YKL520,SOLD,Sold
2017-03-09 10:00:58.528959,Cab Upload,VFR160,FCB,Final Cab
2017-03-08 14:52:15.843466,PAINT,QZH295,PNT,Paint
2017-03-06 05:07:50.775861,Sold,DPL397,SOLD,Sold
2017-03-08 13:38:45.145059,CIW upload,XGC043,CIW,Cab In White
2017-03-06 07:05:38.541002,Enter Offline,IXM739,OFF,Offline
2017-03-07 06:26:00.665937,CIW upload,USH564,CIW,Cab In White
2017-03-07 15:58:51.288889,CIW upload,NKE126,CIW,Cab In White
2017-03-09 19:59:39.023638,CIW upload,JCV863,CIW,Cab In White
2017-03-07 11:48:56.215197,Enter Offline,YKL719,OFF,Offline
2017-03-06 08:31:22.150547,Enter Offline,SPF970,OFF,Offline
2017-03-07 14:32:15.478190,PAINT,YGL283,PNT,Paint
2017-03-09 13:09:01.328178,CIW upload,XET976,CIW,Cab In White
2017-03-08 16:23:03.949509,CIW upload,HQI892,CIW,Cab In White
